Employee #,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Department,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate,Hours Worked,Gross Pay,Total Deductions,Net Pay
10011,Salcedo,Anthony,09/14/1993,"93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate",070-766-300,26-9647608-3,126445315651,210-805-911-000,218002473454,Regular,Payroll Manager,Accounting,"Alvaro, Roderick","50,825","1,500","1,000","1,000",25412.50,302.53,151.08,45707.24,5878.34,39828.91
10012,Lopez,Josie,01/14/1987,"49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro",478-355-427,44-8563448-3,431709011012,218-489-737-000,113071293354,Regular,Payroll Team Leader,Accounting,"Salcedo, Anthony","38,475","1,500",800,800,19237.50,229.02,143.47,32856.74,3263.73,29593.00
10013,Farala,Martha,01/11/1942,"42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte",329-034-366,45-5656375-0,233693897247,210-835-851-000,631130283546,Regular,Payroll Rank and File,Accounting,"Salcedo, Anthony","24,000","1,500",500,500,12000.00,142.86,153.67,21952.82,1419.29,20533.53
10014,Martinez,Leila,07/11/1970,"37/46 Kulas Roads, Maragondon 0962 Quirino",877-110-749,27-2090996-4,515741057496,275-792-513-000,101205445886,Regular,Payroll Rank and File,Accounting,"Salcedo, Anthony","24,000","1,500",500,500,12000.00,142.86,143.48,20498.03,1329.97,19168.06
10015,Romualdez,Fredrick,03/10/1985,"22A/52 Lubowitz Meadows, Pililla 4895 Zambales",023-079-009,26-8768374-1,308366860059,598-065-761-000,223057707853,Regular,Account Manager,Sales & Accounts,"Lim, Antonio","53,500","1,500","1,000","1,000",26750.00,318.45,144.37,45973.57,5934.80,40038.77
10016,Mata,Christian,10/21/1987,"90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu",783-776-744,49-2959312-6,824187961962,103-100-522-000,631052853464,Regular,Account Team Leader,Sales & Accounts,"Romualdez, Fredrick","42,975","1,500",800,800,21487.50,255.80,143.52,36711.56,3971.25,32740.31
10017,De Leon,Selena,02/20/1975,"89A Armstrong Trace, Compostela 7874 Maguindanao",975-432-139,27-2090208-8,587272469938,482-259-498-000,719007608464,Regular,Account Team Leader,Sales & Accounts,"Romualdez, Fredrick","41,850","1,500",800,800,20925.00,249.11,156.58,39006.47,4457.77,34548.70
10018,San Jose,Allison,06/24/1986,"08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union",179-075-129,45-3251383-0,745148459521,121-203-336-000,114901859343,Regular,Account Rank and File,Sales & Accounts,"Mata, Christian","22,500","1,500",500,500,11250.00,133.93,152.72,20453.34,1329.30,19124.04
10019,Rosario,Cydney,10/06/1996,"93A/21 Berge Points, Tapaz 2180 Quezon",868-819-912,49-1629900-2,579253435499,122-244-511-000,265104358643,Regular,Account Rank and File,Sales & Accounts,"Mata, Christian","22,500","1,500",500,500,11250.00,133.93,147.42,19743.51,1273.65,18469.86
10020,Bautista,Mark,02/12/1991,"65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino",683-725-348,49-1647342-5,399665157135,273-970-941-000,260054585575,Regular,Account Rank and File,Sales & Accounts,"Mata, Christian","23,250","1,500",500,500,11625.00,138.39,140.82,19487.62,1269.81,18217.80
10021,Lazaro,Darlene,11/25/1985,"47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino",740-721-558,45-5617168-2,606386917510,354-650-951-000,104907708845,Probationary,Account Rank and File,Sales & Accounts,"Mata, Christian","23,250","1,500",500,500,11625.00,138.39,152.02,21037.59,1360.56,19677.02
10022,Delos Santos,Kolby,02/26/1980,"06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur",739-443-033,52-0109570-6,357451271274,187-500-345-000,113017988667,Probationary,Account Rank and File,Sales & Accounts,"Mata, Christian","24,000","1,500",500,500,12000.00,142.86,146.00,20857.56,1357.86,19499.70
10023,Santos,Vella,12/31/1983,"99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur",955-879-269,52-9883524-3,548670482885,101-558-994-000,360028104576,Probationary,Account Rank and File,Sales & Accounts,"Mata, Christian","22,500","1,500",500,500,11250.00,133.93,148.07,19830.57,1297.46,18533.11
10024,Del Rosario,Tomas,12/18/1978,"80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque",882-550-989,45-5866331-6,953901539995,560-735-732-000,913108649964,Probationary,Account Rank and File,Sales & Accounts,"Mata, Christian","22,500","1,500",500,500,11250.00,133.93,147.08,19698.87,1272.98,18425.89
10025,Tolentino,Jacklyn,05/19/1984,"96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao",675-757-366,47-1692793-0,753800654114,841-177-857-000,210546661243,Probationary,Account Rank and File,Sales & Accounts,"De Leon, Selena","24,000","1,500",500,500,12000.00,142.86,141.58,20226.59,1303.40,18923.20
10026,Gutierrez,Percival,12/18/1970,"58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur",512-899-876,40-9504657-8,797639382265,502-995-671-000,210897095686,Probationary,Account Rank and File,Sales & Accounts,"De Leon, Selena","24,750","1,500",500,500,12375.00,147.32,145.95,21501.35,1390.02,20111.33
10027,Manalaysay,Garfield,08/28/1986,"60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur",948-628-136,45-3298166-4,810909286264,336-676-445-000,211274476563,Probationary,Account Rank and File,Sales & Accounts,"De Leon, Selena","24,750","1,500",500,500,12375.00,147.32,140.93,20762.30,1356.43,19405.86
10028,Villegas,Lizeth,12/12/1981,"66/77 Mann Views, Luisiana 1263 Dinagat Islands",332-372-215,40-2400719-4,934389652994,210-395-397-000,122238077997,Probationary,Account Rank and File,Sales & Accounts,"De Leon, Selena","24,000","1,500",500,500,12000.00,142.86,148.92,21274.24,1386.61,19887.62
10029,Ramos,Carol,08/20/1978,"72/70 Stamm Spurs, Bustos 4550 Iloilo",250-700-389,60-1152206-4,351830469744,395-032-717-000,212141893454,Probationary,Account Rank and File,Sales & Accounts,"De Leon, Selena","22,500","1,500",500,500,11250.00,133.93,149.33,20000.21,1300.00,18700.21
10030,Maceda,Emelia,04/14/1973,"50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija",973-358-041,54-1331005-0,465087894112,215-973-013-000,515012579765,Probationary,Account Rank and File,Sales & Accounts,"De Leon, Selena","22,500","1,500",500,500,11250.00,133.93,141.90,19004.67,1240.07,17764.60
10031,Aguilar,Delia,01/27/1989,"95 Cremin Junction, Surallah 2809 Cotabato",529-705-439,52-1859253-1,136451303068,599-312-588-000,110018813465,Probationary,Account Rank and File,Sales & Accounts,"De Leon, Selena","22,500","1,500",500,500,11250.00,133.93,147.30,19727.89,1273.42,18454.47
10032,Castro,John Rafael,02/09/1992,"Hi-way, Yati, Liloan Cebu",332-424-955,26-7145133-4,601644902402,404-768-309-000,697764069311,Regular,Sales & Marketing,Marketing,"Reyes, Isabella","52,670","1,500","1,000","1,000",26335.00,313.51,147.25,46164.35,5975.24,40189.11
10033,Martinez,Carlos Ian,11/16/1990,"Bulala, Camalaniugan",078-854-208,11-5062972-7,380685387212,256-436-296-000,993372963726,Regular,Supply Chain and Logistics,Operations,"Reyes, Isabella","52,670","1,500","1,000","1,000",26335.00,313.51,152.77,47893.88,6341.90,41551.98
10034,Santos,Beatriz,08/07/1990,"Agapita Building, Metro Manila",526-639-511,20-2987501-5,918460050077,911-529-713-000,874042259378,Regular,Customer Service and Relations,Customer Service,"Reyes, Isabella","52,670","1,500","1,000","1,000",26335.00,313.51,146.12,45809.04,5899.92,39909.12
